Detailed.Parameter,Simple.Parameter,Specific.Metric,Reference,Experiment.Type,Environment,General.Taxon.Grouping.1,General.Taxon.Grouping.2,General.Taxon.Grouping.3,Heterotroph.or.Autotroph,Species,Life.Stage,Resource.General,Resource.Species,Resource.life.stage,Max.Temp,Min.Temp,Temp.Range,Number.of.Temps.Measured,Confident.in.Temps,Evidence.of.temperature.dependence,Activation.energy,Error,Error.Metric,Model.Used,Single.species.or.multiple,Where.to.find.in.paper,Evidence.that.temp.dependence.differs.between.species,Notes,More.notes,Their.Data.or.Dataset.
c:consumption rate,consumption rate,maximum feeding rate,"Butler & Burns (1993). Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses. Oikos: 66(1): 5-16
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Arachnids,Water mite,heterotroph,Piona exigua,adult,Cladocera,Daphnia carinata,unsure,22,10,12,4,Yes,Yes,1.21,0.4,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Mohaghegh et al. (2001). Functional response of the predators Podisus maculiventris (Say) and Podisus nigrispinus (Dallas) (Het., Pentatomidae) to the beet armyworm, Spodoptera exigua (Hubner) (Lep., Noctuidae): effect of temperature. Journal of Applied Emtomology: 125(3): 131-134
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Stink bug,heterotroph,Podisus maculiventris,adult,Lepidoptera,Spodoptera exigua,juvenile,27,18,9,9,Yes,Yes,0.24,0.01,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Mohaghegh et al. (2001). Functional response of the predators Podisus maculiventris (Say) and Podisus nigrispinus (Dallas) (Het., Pentatomidae) to the beet armyworm, Spodoptera exigua (Hubner) (Lep., Noctuidae): effect of temperature. Journal of Applied Emtomology: 125(3): 131-134
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Stink bug,heterotroph,Podisus nigrispinus,adult,Lepidoptera,Spodoptera exigua,juvenile,27,18,9,9,Yes,Yes,0.75,0.44,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Li et al. (2007). Functional response of the predator Scolothrips takahashii to hawthorn spider mite, Tetranychus viennensis: effect of age and temperature. BioControl: 52(1): 41-61
Activation energy calculated in: Fussman et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Thrips,heterotroph,Scolothrips takahashii,adult,Mite,Tetranychus viennensis,eggs,35,20,15,4,Yes,Yes,0.52,0.08,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"I believe that one of these is for male predators and one is for females, but it is not specified which is which",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Li et al. (2007). Functional response of the predator Scolothrips takahashii to hawthorn spider mite, Tetranychus viennensis: effect of age and temperature. BioControl: 52(1): 41-61
Activation energy calculated in: Fussman et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Thrips,heterotroph,Scolothrips takahashii,adult,Mite,Tetranychus viennensis,eggs,35,20,15,4,Yes,Yes,0.46,0.09,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"I believe that one of these is for male predators and one is for females, but it is not specified which is which",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,maximum feeding rate,Fussmann et al. (2014). Ecological stability in response to warming. Nature Climate Change: 4(3): 206-210,Lab,,,,Cilliate,heterotroph,Tetrahymena pyriformis,,Bacteria,Pseudomonas fluorescens,,30,15,15,4,Yes,Yes,0.19,NA,,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,I think this activation energy should be considered for exclusion from the dataset. The data it is calculated from are problematic due to insufficient prey density at the second to highest temperature. (See Supplementary Figure 6),,their data
w: conversion efficiency (individual growth),conversion efficiency,,"Person Le-Ruyet et al. (2004). Effects of temperature on growth and metabolism in a Mediterranean population of European sea bass, Dicentrarchus labrax. Aquaculture: 237(1): 269-280
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Marine,Vertebrates,Fish,Fish,heterotroph,Dicentrarchus labrax,,dry food pellet,,,28.8,13.4,15.4,6,No,Yes,0.39,NA,,Arrhenius,single species,"From Table S3 in Dell et al. (2011)
E=0.39",,,,"their data, part of Dell et al. (2011) dataset"
w: conversion efficiency (population growth),conversion efficiency,,"Rose et al. (2009). Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. ISME Journal: 3(2): 252-260
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Marine,,,Protist,heterotroph,Paraphysomonas imperforata,,Proteobacteria,Halomonas marina,,20,0,20,5,No,Yes,0.23,NA,,Arrhenius,single species,"From Table S3 in Dell et al. (2011)
E=0.23",,,,"their data, part of Dell et al. (2011) dataset"
w: conversion efficiency (population growth),conversion efficiency,,"Verity (1985). Grazing, respiration, excretion, and growth rates of tintinnids. Limnology and Oceanography: 30(6): 1268-1282",Lab,Marine,,,Tintinnids (zooplankton),heterotroph,Tintinnopsis acuminata,,Phytoplankton,Isochrysis galbana,,25,15,10,3,Yes,Yes,-0.44,NA,,Arrhenius,single species,"I calculated this myself. Data from Table 2 
(I have the code I used to calculate it)",,"Growth increased more slowly with temp than respiration and excretion did, which is the explanation given in the paper for why growth efficiency decreased with temp",Assimilation efficiency was independent of temperature,their data
w: conversion efficiency (population growth),conversion efficiency,,"Verity (1985). Grazing, respiration, excretion, and growth rates of tintinnids. Limnology and Oceanography: 30(6): 1268-1283",Lab,Marine,,,Tintinnids (zooplankton),heterotroph,Tintinnopsis vasculum,,Phytoplankton,Dicrateria inornata,,15,5,10,3,Yes,Yes,-0.15,NA,,Arrhenius,single species,"I calculated this myself. Data from Table 2 
(I have the code I used to calculate it)",,"Growth increased more slowly with temp than respiration and excretion did, which is the explanation given in the paper for why growth efficiency decreased with temp",Assimilation efficiency was independent of temperature,their data
w: conversion efficiency (population biovolume),conversion efficiency,biovolume of consumer produced compared to biovolume of resource consumed,"Caron et al. (1986). Effect of temperature on growth, respiration, and nutrient regeneration by an omnivorous microflagellate. Applied and Environmental Microbiology: 52(6): 1340-1347",Lab,Marine,,,Protist,heterotroph,Paraphysomonas imperforata,,Diatom,Phaeodactylum tricornutum,,26,14,12,4,Yes,No,-0.02,0.04,SE,Arrhenius,single species,"I calculated this myself. Data from Table 5
(I have the code I used to calculate it)",,"They also measured gross growth efficiency based on carbon, which was also not significantly temperature dependent",,their data
